jarvis id,jarvis band structure (BG),"preds band structure (BG, Direc BG, VBM, CBM)"
JVASP-75300,[3.259000301361084],"[4.820193290710449, 4.960184097290039, -6.987165451049805, -2.158337354660034]"
JVASP-75420,[0.7049999833106995],"[2.738051414489746, 3.041254997253418, -8.004754066467285, -5.270545959472656]"
JVASP-75303,[1.5609999895095825],"[3.4218788146972656, 3.586876153945923, -6.609184741973877, -3.188272476196289]"
JVASP-75426,[0.0],"[0.133827805519104, 0.21244537830352783, -4.824378490447998, -4.634155750274658]"
JVASP-75188,[1.5160000324249268],"[2.842902183532715, 2.8986828327178955, -6.788887977600098, -3.940335512161255]"
JVASP-76508,[2.2260000705718994],"[3.1908938884735107, 3.2348289489746094, -6.691728115081787, -3.497676372528076]"
JVASP-75427,[0.0],"[0.3409947156906128, 0.43115055561065674, -4.865934371948242, -4.433300018310547]"
JVASP-75189,[1.1920000314712524],"[2.3481245040893555, 2.4206109046936035, -6.630152702331543, -4.281039714813232]"
JVASP-76511,[1.9609999656677246],"[4.159026145935059, 4.1769866943359375, -7.927146911621094, -3.7789273262023926]"
JVASP-76512,[3.248000144958496],"[4.159045219421387, 4.177000522613525, -7.927165985107422, -3.7789251804351807]"
JVASP-6877,[1.8680000305175781],"[2.42336106300354, 2.4872798919677734, -6.250714302062988, -3.8127524852752686]"
JVASP-6637,[0.0],"[0.05216705799102783, 0.0680534839630127, -4.409147262573242, -4.314980506896973]"
JVASP-738,[1.7880001068115234],"[3.055962562561035, 3.5842010974884033, -7.973170280456543, -4.902026176452637]"
JVASP-646,[0.0],"[0.02640676498413086, 0.07013416290283203, -5.186495780944824, -5.144474506378174]"
JVASP-60549,[2.997999668121338],"[2.9371182918548584, 2.967564105987549, -7.806385040283203, -4.874688148498535]"
JVASP-60484,[1.9989999532699585],"[2.8459725379943848, 2.815406084060669, -7.61967658996582, -4.771035671234131]"
JVASP-76195,[1.184000015258789],"[1.8878247737884521, 1.9979089498519897, -5.996552467346191, -4.115423679351807]"
JVASP-19510,[0.0],"[0.06411564350128174, 0.12738633155822754, -4.867630958557129, -4.772953033447266]"
JVASP-5989,[0.0],"[0.026412248611450195, 0.0701456069946289, -5.1864848136901855, -5.144448280334473]"
JVASP-60485,[0.0],"[0.02404308319091797, 0.03753852844238281, -4.342838287353516, -4.291782379150391]"
JVASP-6445,[0.0],"[0.09046781063079834, 0.17114019393920898, -4.878599643707275, -4.740906715393066]"
JVASP-60249,[1.7009999752044678],"[3.2240421772003174, 3.4305543899536133, -6.383024215698242, -3.172757625579834]"
JVASP-7012,[2.98799991607666],"[4.057969093322754, 4.940637111663818, -6.240795135498047, -2.1660521030426025]"
JVASP-7015,[0.09599995613098145],"[0.25579118728637695, 0.9450949430465698, -5.167181015014648, -4.916394233703613]"
JVASP-6895,[1.690999984741211],"[2.633908748626709, 2.996323347091675, -6.371954917907715, -3.7386105060577393]"
JVASP-6844,[1.906999945640564],"[2.647653341293335, 3.007988929748535, -6.079369068145752, -3.442049026489258]"
JVASP-60550,[4.618000030517578],"[5.567920207977295, 5.773109436035156, -7.858816623687744, -2.294440746307373]"
JVASP-60251,[1.715000033378601],"[2.235565662384033, 2.511141777038574, -5.799916744232178, -3.558891773223877]"
JVASP-27913,[0.23799997568130493],"[1.9082850217819214, 1.9945605993270874, -3.5235986709594727, -1.5675296783447266]"
JVASP-6601,[0.0],"[0.038767457008361816, 0.11631631851196289, -4.869939804077148, -4.816321849822998]"
JVASP-6847,[0.0],"[0.02162015438079834, 0.03062272071838379, -4.293912887573242, -4.245421409606934]"
JVASP-6088,[1.4700000286102295],"[2.5340685844421387, 2.6897246837615967, -6.8608078956604, -4.32828426361084]"
JVASP-60552,[2.8550000190734863],"[3.2183470726013184, 3.47499942779541, -6.751870632171631, -3.529923439025879]"
JVASP-9020,[0.0],"[0.19014418125152588, 0.3650190830230713, -4.624335289001465, -4.406832695007324]"
JVASP-6217,[2.5399999618530273],"[2.4890966415405273, 2.7002320289611816, -7.343969821929932, -4.85153865814209]"
JVASP-60253,[0.0],"[0.05574238300323486, 0.14507007598876953, -4.179088592529297, -4.117794990539551]"
JVASP-60553,[3.63700008392334],"[4.3585920333862305, 4.5745439529418945, -6.503198623657227, -2.139127254486084]"
JVASP-19524,[0.07299995422363281],"[0.5156546831130981, 0.6718130111694336, -3.990424394607544, -3.432459831237793]"
JVASP-60488,[1.4229999780654907],"[1.8341346979141235, 1.8808457851409912, -6.130543231964111, -4.290951728820801]"
JVASP-658,[1.3370000123977661],"[2.0544633865356445, 2.0592825412750244, -5.718817710876465, -3.653484344482422]"
JVASP-60317,[0.0],"[0.10170090198516846, 0.13756918907165527, -4.215968132019043, -4.085029125213623]"
JVASP-60491,[1.7669999599456787],"[2.3302783966064453, 2.6187164783477783, -6.840277671813965, -4.509840965270996]"
JVASP-13556,[0.0],"[0.007497549057006836, 0.008358478546142578, -4.506911277770996, -4.450710296630859]"
JVASP-60554,[1.3650000095367432],"[3.29024076461792, 3.75445294380188, -7.282477378845215, -4.034978866577148]"
JVASP-762,[0.7310000061988831],"[1.2639274597167969, 1.7316244840621948, -6.381677627563477, -5.108586311340332]"
JVASP-60493,[2.6519999504089355],"[2.3302841186523438, 2.6187217235565186, -6.840298652648926, -4.509855270385742]"
JVASP-14445,[3.437000274658203],"[3.7079081535339355, 4.122232437133789, -7.963215351104736, -4.256048679351807]"
JVASP-60254,[0.5590000152587891],"[1.1912963390350342, 1.2899872064590454, -5.670804977416992, -4.485016822814941]"
JVASP-19586,[1.5729999542236328],"[2.0901103019714355, 2.2740633487701416, -5.164185523986816, -3.0640881061553955]"
JVASP-13647,[0.0],"[0.023167848587036133, 0.04459857940673828, -4.1884260177612305, -4.170562744140625]"
JVASP-20060,[0.0],"[0.00827789306640625, 0.03819704055786133, -4.33131217956543, -4.313440799713135]"
JVASP-8861,[2.921999931335449],"[4.5566725730896, 4.672401428222656, -6.322851657867432, -1.7568869590759277]"
JVASP-60257,[1.6640000343322754],"[3.292412757873535, 3.330080032348633, -6.816390037536621, -3.5330522060394287]"
JVASP-60258,[0.0],"[0.023667097091674805, 0.026195526123046875, -4.453307628631592, -4.392257213592529]"
JVASP-60259,[0.3019999861717224],"[1.585769534111023, 1.6955549716949463, -5.32597541809082, -3.7425906658172607]"
JVASP-6016,[2.7019999027252197],"[4.300293445587158, 4.471469402313232, -7.176251411437988, -2.8766651153564453]"
JVASP-13528,[3.819000244140625],"[4.833711624145508, 5.219758987426758, -7.4929680824279785, -2.6541953086853027]"
JVASP-60261,[1.1690000295639038],"[2.495586395263672, 2.543497085571289, -6.352780342102051, -3.8476758003234863]"
JVASP-60555,[1.100000023841858],"[4.215878486633301, 4.353618621826172, -8.823175430297852, -4.5987701416015625]"
JVASP-6037,[1.1970000267028809],"[1.4675252437591553, 2.109924077987671, -4.036262035369873, -2.5596704483032227]"
JVASP-60320,[2.059999942779541],"[3.2706761360168457, 3.476283550262451, -5.975473403930664, -2.695788860321045]"
JVASP-60556,[4.689000129699707],"[5.61087703704834, 5.803718090057373, -7.837928771972656, -2.231757402420044]"
JVASP-60262,[3.1640000343322754],"[4.118769645690918, 4.195065975189209, -6.771587371826172, -2.6536264419555664]"
JVASP-60263,[0.0],"[0.23052942752838135, 0.37388288974761963, -5.057036399841309, -4.806384086608887]"
JVASP-744,[1.3619999885559082],"[1.7332777976989746, 1.9012045860290527, -5.918268203735352, -4.177614688873291]"
JVASP-14451,[0.9860000014305115],"[1.6918169260025024, 1.7476329803466797, -5.557255268096924, -3.851743459701538]"
JVASP-14455,[0.0],"[0.10425317287445068, 0.1880350112915039, -5.725831031799316, -5.52915096282959]"
JVASP-60264,[3.908999443054199],"[5.478981971740723, 5.480885028839111, -8.784114837646484, -3.304579734802246]"
JVASP-60267,[0.0],"[0.1147843599319458, 0.1627955436706543, -4.676953315734863, -4.565580368041992]"
JVASP-60268,[0.0],"[0.17960643768310547, 0.26181185245513916, -4.4199538230896, -4.251626968383789]"
JVASP-60272,[0.0],"[0.8264191150665283, 0.901599645614624, -4.927218437194824, -4.036505699157715]"
JVASP-5956,[0.0],"[0.06422090530395508, 0.14920520782470703, -4.816401958465576, -4.726986408233643]"
JVASP-60558,[4.066999912261963],"[5.383771896362305, 5.45881462097168, -8.221658706665039, -2.8349099159240723]"
JVASP-60279,[0.0],"[0.02641117572784424, 0.0701436996459961, -5.18648099899292, -5.144448280334473]"
JVASP-60280,[0.1899999976158142],"[0.8591001033782959, 0.8963468074798584, -5.562313079833984, -4.647538661956787]"
JVASP-60285,[0.0],"[0.13410282135009766, 0.14746356010437012, -5.0728559494018555, -4.827352046966553]"
JVASP-6370,[2.01200008392334],"[3.2697806358337402, 3.420708656311035, -6.81028413772583, -3.542482614517212]"
JVASP-60322,[0.5239999890327454],"[0.73537278175354, 0.888878345489502, -4.717331886291504, -3.9926676750183105]"
JVASP-60324,[0.0],"[0.2735351324081421, 0.31967830657958984, -6.2072062492370605, -5.763182640075684]"
JVASP-60564,[3.6459999084472656],"[4.974861145019531, 5.177388668060303, -7.333597183227539, -2.349381923675537]"
JVASP-14456,[0.0],"[0.00037670135498046875, 0.0013937950134277344, -5.883667945861816, -5.927111625671387]"
JVASP-60566,[1.2489999532699585],"[1.8118088245391846, 1.8240845203399658, -5.370016574859619, -3.556702136993408]"
JVASP-60567,[0.0],"[0.02890002727508545, 0.034882307052612305, -4.952578544616699, -4.872389793395996]"
JVASP-60286,[0.0],"[-0.0013589859008789062, 0.0016584396362304688, -4.4583868980407715, -4.435815811157227]"
JVASP-60287,[0.9390000104904175],"[4.034147262573242, 4.213190078735352, -8.109030723571777, -4.0734944343566895]"
JVASP-60494,[1.2400000095367432],"[1.8705276250839233, 2.0202035903930664, -6.675564289093018, -4.7983598709106445]"
JVASP-60573,[2.628000020980835],"[3.83819580078125, 4.802817344665527, -9.81138801574707, -5.981614112854004]"
JVASP-60578,[0.006999969482421875],"[0.2561767101287842, 0.3145960569381714, -5.253929138183594, -4.931375026702881]"
JVASP-14457,[0.0],"[1.2524988651275635, 1.2979092597961426, -6.754001617431641, -5.391819953918457]"
JVASP-60289,[2.2760000228881836],"[6.773327350616455, 6.797981262207031, -8.503034591674805, -1.739508867263794]"
JVASP-60290,[0.6100000143051147],"[3.3079702854156494, 3.479412317276001, -7.326627731323242, -4.016203880310059]"
JVASP-60579,[4.804999351501465],"[5.754122734069824, 6.020352363586426, -7.915826797485352, -2.168229579925537]"
JVASP-60582,[0.29600000381469727],"[2.7623000144958496, 2.8442535400390625, -7.5256853103637695, -4.750884056091309]"
JVASP-60331,[3.7810001373291016],"[4.925981521606445, 5.1365203857421875, -6.914356708526611, -1.985041618347168]"
JVASP-60332,[0.0],"[0.01972520351409912, 0.020929574966430664, -4.521524906158447, -4.436964988708496]"
JVASP-60495,[0.8130000233650208],"[1.4793065786361694, 2.0086350440979004, -5.452329158782959, -3.9672327041625977]"
JVASP-28125,[0.0],"[0.07167553901672363, 0.08755779266357422, -4.992137908935547, -4.908042907714844]"
JVASP-60497,[0.004999995231628418],"[0.5447674989700317, 0.5669007301330566, -6.32702112197876, -5.711158752441406]"
JVASP-60499,[0.0],"[0.03167307376861572, 0.037186384201049805, -4.465455532073975, -4.407067775726318]"
JVASP-60500,[0.0],"[0.6040230989456177, 0.6689682006835938, -5.644501209259033, -4.985530853271484]"
JVASP-60585,[4.665999889373779],"[6.157855987548828, 6.411138534545898, -8.228588104248047, -2.075641632080078]"
JVASP-60589,[0.35199999809265137],"[3.035539388656616, 3.3087069988250732, -8.403181076049805, -5.360380172729492]"
JVASP-60593,[0.0],"[0.5200831890106201, 0.5956916809082031, -6.6630449295043945, -5.9386305809021]"
JVASP-60594,[4.383999347686768],"[5.608081817626953, 6.056888580322266, -6.632541179656982, -1.0303471088409424]"
JVASP-60504,[3.944000244140625],"[5.584539413452148, 5.760406017303467, -7.023628234863281, -1.4327471256256104]"
JVASP-60337,[0.31700003147125244],"[1.0079569816589355, 1.0418120622634888, -5.395605087280273, -4.349470615386963]"
JVASP-60505,[4.687999725341797],"[6.452345371246338, 6.562234878540039, -7.7242560386657715, -1.2657482624053955]"
JVASP-60426,[1.3589999675750732],"[2.3338706493377686, 2.4059906005859375, -6.542417526245117, -4.202475547790527]"
JVASP-6853,[1.871999979019165],"[2.423297882080078, 2.48726749420166, -6.250590801239014, -3.812696695327759]"
JVASP-60595,[0.6539999842643738],"[1.0353236198425293, 1.092759370803833, -5.163311004638672, -4.135254859924316]"
JVASP-14458,[0.9470000267028809],"[2.2627334594726562, 2.3720405101776123, -8.677530288696289, -6.3711442947387695]"
JVASP-60433,[1.781000018119812],"[3.49977970123291, 3.650113582611084, -7.774020671844482, -4.272854804992676]"
JVASP-9059,[0.9679999947547913],"[3.2625844478607178, 3.2645390033721924, -5.515764236450195, -2.2250866889953613]"
JVASP-14459,[0.33399999141693115],"[0.8718593120574951, 0.9898343086242676, -7.377935409545898, -6.423372745513916]"
JVASP-60507,[2.0450000762939453],"[3.828845977783203, 3.971898078918457, -8.368480682373047, -4.543080806732178]"
JVASP-13529,[5.3470001220703125],"[6.756193161010742, 7.016838073730469, -8.986976623535156, -2.237992763519287]"
JVASP-60596,[0.0],"[0.09457993507385254, 0.15514779090881348, -5.687984466552734, -5.588350296020508]"
JVASP-13535,[0.296999990940094],"[2.7629382610321045, 2.8447415828704834, -7.525208473205566, -4.749785900115967]"
JVASP-6856,[0.24900001287460327],"[0.27255046367645264, 0.2651998996734619, -4.744314670562744, -4.408548355102539]"
JVASP-8867,[0.5049999952316284],"[1.0383415222167969, 1.3130123615264893, -5.7781877517700195, -4.7325215339660645]"
JVASP-60597,[0.0],"[0.04693603515625, 0.07030749320983887, -5.1069207191467285, -5.046797752380371]"
JVASP-14460,[0.0],"[0.4173009395599365, 0.4502295255661011, -6.797692775726318, -6.234983444213867]"
JVASP-60599,[0.0],"[0.5668079853057861, 0.6469491720199585, -6.697897911071777, -5.957547187805176]"
JVASP-60603,[0.0],"[0.0009672641754150391, 0.012021780014038086, -4.393811225891113, -4.380824565887451]"
JVASP-60604,[1.1059999465942383],"[1.2518746852874756, 1.412588119506836, -4.902421474456787, -3.6541786193847656]"
JVASP-60607,[1.3700000047683716],"[1.8502089977264404, 2.0067408084869385, -5.407410621643066, -3.5631041526794434]"
JVASP-60609,[3.4200000762939453],"[4.199817657470703, 4.391518592834473, -6.390242576599121, -2.1753721237182617]"
JVASP-60610,[4.5920000076293945],"[5.441045761108398, 5.715216636657715, -7.590173244476318, -2.1534793376922607]"
JVASP-649,[1.4459999799728394],"[1.9152603149414062, 1.9071316719055176, -5.427731990814209, -3.51063871383667]"
JVASP-6025,[1.1059999465942383],"[1.317922592163086, 1.3846855163574219, -4.647799968719482, -3.3295271396636963]"
JVASP-60612,[1.4019999504089355],"[1.9645774364471436, 1.9770535230636597, -5.649403095245361, -3.674344062805176]"
JVASP-6880,[0.0],"[0.046230435371398926, 0.0626983642578125, -4.399543762207031, -4.302173137664795]"
JVASP-28127,[1.0049999952316284],"[0.7259358167648315, 1.0333645343780518, -6.158477306365967, -5.44528865814209]"
JVASP-6640,[0.026999950408935547],"[0.4757075309753418, 0.6498461961746216, -5.08469295501709, -4.519046783447266]"
JVASP-60340,[1.4170000553131104],"[3.843630313873291, 3.974142074584961, -7.4008002281188965, -3.5273518562316895]"
JVASP-60341,[0.0],"[0.019059062004089355, 0.08753633499145508, -4.4616217613220215, -4.441173553466797]"
JVASP-60346,[3.739999771118164],"[4.388290882110596, 4.593749046325684, -6.438361644744873, -2.0484399795532227]"
JVASP-60348,[2.5269999504089355],"[3.9603607654571533, 4.154468536376953, -8.910717964172363, -4.945556640625]"
JVASP-60510,[1.8049999475479126],"[3.9509973526000977, 4.047975063323975, -7.389334678649902, -3.417330503463745]"
JVASP-60439,[1.3680000305175781],"[2.069286584854126, 2.0962727069854736, -6.381218433380127, -4.313797950744629]"
JVASP-60512,[1.718000054359436],"[2.9157588481903076, 3.0372097492218018, -6.51999568939209, -3.6021523475646973]"
JVASP-60514,[0.0],"[0.0941617488861084, 0.11181759834289551, -4.430903911590576, -4.3129353523254395]"
JVASP-60291,[1.7200000286102295],"[2.8444933891296387, 2.8912460803985596, -6.4677734375, -3.6176698207855225]"
JVASP-6385,[1.0290000438690186],"[2.259366035461426, 2.5758800506591797, -6.592165470123291, -4.336551666259766]"
JVASP-60515,[0.0],"[0.11280369758605957, 0.13364100456237793, -4.795379638671875, -4.626909255981445]"
JVASP-60521,[0.0],"[0.09248268604278564, 0.13764524459838867, -4.661334991455078, -4.5254716873168945]"
JVASP-60522,[0.0],"[0.05758059024810791, 0.11959576606750488, -4.105372428894043, -4.041884422302246]"
JVASP-60525,[0.008999943733215332],"[0.15027570724487305, 0.1545562744140625, -5.032379150390625, -4.8291778564453125]"
JVASP-60349,[0.8809999823570251],"[1.4892160892486572, 1.506786584854126, -5.396696090698242, -3.9134650230407715]"
JVASP-60353,[0.4609999656677246],"[4.586370468139648, 4.704029083251953, -8.849504470825195, -4.252344608306885]"
JVASP-60526,[2.1570000648498535],"[2.3303637504577637, 2.61879563331604, -6.840274810791016, -4.509754657745361]"
JVASP-60528,[0.0],"[0.11310923099517822, 0.1646057367324829, -5.375572204589844, -5.247196197509766]"
JVASP-60529,[0.001999974250793457],"[0.290058970451355, 0.33933258056640625, -5.375647068023682, -4.974720478057861]"
JVASP-60530,[0.24000000953674316],"[0.5205224752426147, 0.6437168121337891, -4.466983318328857, -3.9571619033813477]"
JVASP-60356,[0.10699999332427979],"[0.6790558099746704, 0.7467794418334961, -5.088254928588867, -4.387187480926514]"
JVASP-28130,[1.0770000219345093],"[0.49520766735076904, 0.629228949546814, -5.485159873962402, -5.003741264343262]"
JVASP-60536,[0.9229999780654907],"[1.5657137632369995, 1.6273369789123535, -5.835838317871094, -4.2730865478515625]"
JVASP-60357,[0.0],"[1.9252917766571045, 2.0035510063171387, -5.513442516326904, -3.5434350967407227]"
JVASP-60359,[0.0],"[0.5195126533508301, 0.5951389074325562, -6.662883758544922, -5.938831806182861]"
JVASP-60360,[1.718000054359436],"[1.195296287536621, 1.2420849800109863, -6.3434247970581055, -5.145028114318848]"
JVASP-60361,[0.0],"[0.052025675773620605, 0.09587907791137695, -4.411181449890137, -4.360942363739014]"
JVASP-60293,[1.1519999504089355],"[1.799330234527588, 1.910799264907837, -6.280372142791748, -4.481806755065918]"
JVASP-5926,[0.0],"[0.01774907112121582, 0.014056205749511719, -4.901905059814453, -4.860058784484863]"
JVASP-60440,[1.7970000505447388],"[2.4106781482696533, 2.4265615940093994, -6.64700174331665, -4.234922885894775]"
JVASP-60362,[0.0],"[0.20504271984100342, 0.35763227939605713, -5.275223731994629, -5.05108642578125]"
JVASP-60442,[2.6389999389648438],"[2.3302104473114014, 2.6186540126800537, -6.840224266052246, -4.509858131408691]"
JVASP-60443,[1.7039999961853027],"[3.1164333820343018, 3.211820125579834, -7.475788116455078, -4.365076065063477]"
JVASP-60294,[0.0],"[0.12078535556793213, 0.1844719648361206, -4.5898118019104, -4.453907489776611]"
JVASP-60295,[0.03900003433227539],"[0.9166353940963745, 1.0909597873687744, -4.571323394775391, -3.6640965938568115]"
JVASP-6019,[0.5260000228881836],"[0.8922802209854126, 1.4483414888381958, -5.545710563659668, -4.644975662231445]"
JVASP-60363,[4.168000221252441],"[5.6825151443481445, 5.779842376708984, -7.662405014038086, -1.9778087139129639]"
JVASP-60365,[0.5590000152587891],"[1.0201289653778076, 1.4740900993347168, -5.026718616485596, -4.007829189300537]"
JVASP-6079,[1.468999981880188],"[1.967079520225525, 2.0200326442718506, -6.3451056480407715, -4.374180793762207]"
JVASP-60367,[0.0],"[0.00020432472229003906, 0.03603315353393555, -4.397607803344727, -4.422782897949219]"
JVASP-60368,[0.0],"[0.04916036128997803, 0.057910919189453125, -4.592031002044678, -4.620395660400391]"
JVASP-60447,[0.6050000190734863],"[1.1563518047332764, 1.2258896827697754, -5.10072135925293, -3.953641653060913]"
JVASP-60369,[0.1350000500679016],"[0.513637900352478, 0.5951862335205078, -5.3821306228637695, -4.770806312561035]"
JVASP-5872,[0.0],"[0.17253541946411133, 0.32240045070648193, -5.221549987792969, -5.018738269805908]"
JVASP-60452,[1.8660000562667847],"[2.4226090908050537, 2.486598014831543, -6.2504048347473145, -3.813192367553711]"
JVASP-60453,[2.2260000705718994],"[3.19089412689209, 3.2348294258117676, -6.691727638244629, -3.497676134109497]"
JVASP-60454,[0.5709999799728394],"[1.4498345851898193, 1.5048398971557617, -5.836048126220703, -4.381579875946045]"
JVASP-661,[0.0],"[0.047667503356933594, 0.08126974105834961, -4.109602451324463, -4.048813819885254]"
JVASP-60456,[1.9609999656677246],"[4.159026145935059, 4.1769866943359375, -7.927146911621094, -3.7789270877838135]"
JVASP-6736,[1.2280000448226929],"[1.207289218902588, 1.2930740118026733, -6.282273292541504, -5.065176010131836]"
JVASP-60457,[3.248000144958496],"[4.1590447425842285, 4.177000045776367, -7.927165508270264, -3.7789251804351807]"
JVASP-13536,[0.03400003910064697],"[0.322695255279541, 0.636067271232605, -4.528727054595947, -4.21650505065918]"
JVASP-13539,[0.0],"[0.02902841567993164, 0.07052755355834961, -4.2897047996521, -4.282436370849609]"
JVASP-60459,[0.0],"[0.009650945663452148, 0.0590364933013916, -4.220636367797852, -4.2323503494262695]"
JVASP-28136,[0.03100001811981201],"[0.6223745346069336, 0.7353649139404297, -6.152299404144287, -5.4566755294799805]"
JVASP-28139,[0.0],"[0.3055136203765869, 0.32931840419769287, -5.791863441467285, -5.423677921295166]"
JVASP-60460,[2.5480000972747803],"[2.1897528171539307, 2.3005738258361816, -6.848761081695557, -4.6615447998046875]"
JVASP-60461,[0.0],"[0.03779494762420654, 0.05017805099487305, -4.318482875823975, -4.211225986480713]"
JVASP-60464,[0.871999979019165],"[1.615202784538269, 1.7119849920272827, -5.871682167053223, -4.258013725280762]"
JVASP-28143,[0.0],"[0.050977468490600586, 0.07961893081665039, -4.383028030395508, -4.299003601074219]"
JVASP-60467,[2.882999897003174],"[3.807074546813965, 3.861093044281006, -8.013467788696289, -4.213850021362305]"
JVASP-60469,[4.053999423980713],"[4.5737504959106445, 5.086098670959473, -6.840499401092529, -2.27351975440979]"
JVASP-60470,[0.4429999589920044],"[0.8336706161499023, 0.8560247421264648, -4.098282814025879, -3.2748093605041504]"
JVASP-60375,[0.0],"[0.10670948028564453, 0.1656872034072876, -4.572269439697266, -4.445332050323486]"
JVASP-5938,[0.0],"[0.024925827980041504, 0.05543684959411621, -4.318724155426025, -4.301060676574707]"
JVASP-60385,[2.0980000495910645],"[2.3303513526916504, 2.618783712387085, -6.840330123901367, -4.5098185539245605]"
JVASP-19513,[2.1010000705718994],"[2.7068533897399902, 2.838064432144165, -6.528908729553223, -3.8238229751586914]"
JVASP-28152,[1.406000018119812],"[1.5688703060150146, 1.571777582168579, -4.777484893798828, -3.2071845531463623]"
JVASP-13541,[0.0],"[-0.0030078887939453125, -0.009784936904907227, -4.4926862716674805, -4.469116687774658]"
JVASP-60473,[0.32200002670288086],"[0.8641376495361328, 1.028082013130188, -5.121645927429199, -4.255190372467041]"
JVASP-60474,[0.006000041961669922],"[0.15729916095733643, 0.1885368824005127, -4.933018684387207, -4.674384117126465]"
JVASP-60475,[0.26100003719329834],"[2.8443405628204346, 3.0394482612609863, -6.558885097503662, -3.7063469886779785]"
JVASP-60537,[3.5139999389648438],"[5.165804862976074, 5.214478492736816, -9.75646686553955, -4.592931270599365]"
JVASP-60542,[4.085000038146973],"[5.184103965759277, 5.381760597229004, -7.588038921356201, -2.395368814468384]"
JVASP-28153,[2.6510000228881836],"[3.5330257415771484, 3.6112732887268066, -8.531853675842285, -5.017849922180176]"
JVASP-28173,[3.6600003242492676],"[4.434971809387207, 4.663408279418945, -6.489767551422119, -2.0484724044799805]"
JVASP-6379,[0.6060000061988831],"[1.1567281484603882, 1.221412181854248, -5.097554683685303, -3.9502453804016113]"
JVASP-28176,[0.0],"[0.39171135425567627, 0.5521566867828369, -4.8801045417785645, -4.405557155609131]"
JVASP-6808,[2.249000072479248],"[2.852515697479248, 2.9906351566314697, -5.586167335510254, -2.724613904953003]"
JVASP-5950,[0.0],"[0.01430213451385498, 0.02819228172302246, -4.3381218910217285, -4.305994033813477]"
JVASP-6373,[0.0],"[0.8476653099060059, 1.0839271545410156, -4.76435661315918, -3.9223151206970215]"
JVASP-6052,[1.2369999885559082],"[4.941831111907959, 5.400493621826172, -7.077454090118408, -2.1580810546875]"
JVASP-6034,[0.0],"[3.6175055503845215, 3.735222578048706, -7.286916732788086, -3.675116539001465]"
JVASP-6340,[1.3240000009536743],"[2.3709640502929688, 2.5043110847473145, -5.8050618171691895, -3.4282195568084717]"
JVASP-6040,[3.1640000343322754],"[5.710886478424072, 5.764965057373047, -8.002840995788574, -2.289797782897949]"
JVASP-6304,[2.9159998893737793],"[4.182926654815674, 4.391117572784424, -6.518958568572998, -2.335742712020874]"
JVASP-9065,[1.11899995803833],"[3.0696823596954346, 3.083926200866699, -5.578431606292725, -2.4960427284240723]"
JVASP-6094,[2.5480000972747803],"[2.1592156887054443, 2.2720766067504883, -6.837211608886719, -4.68154239654541]"
JVASP-5953,[0.0],"[0.020302176475524902, 0.05537748336791992, -4.246346950531006, -4.24168586730957]"
JVASP-13544,[1.4210000038146973],"[2.227891445159912, 2.386915445327759, -5.858924388885498, -3.6292123794555664]"
JVASP-6814,[2.1459999084472656],"[2.91544771194458, 3.491340160369873, -6.841058731079102, -3.9249892234802246]"
JVASP-9044,[1.1089999675750732],"[2.8072850704193115, 2.88875675201416, -5.635576248168945, -2.8167338371276855]"
JVASP-19987,[0.0],"[0.0582423210144043, 0.17998456954956055, -4.464907646179199, -4.411107540130615]"
JVASP-77586,[0.4010000228881836],"[2.6256532669067383, 2.9161152839660645, -6.312134265899658, -3.683610200881958]"
JVASP-13560,[0.0],"[0.0907437801361084, 0.11880087852478027, -4.384767532348633, -4.219231605529785]"
JVASP-77587,[0.0],"[0.005556344985961914, 0.004855155944824219, -4.332592964172363, -4.31560754776001]"
JVASP-77592,[0.0],"[0.004184722900390625, 0.03107142448425293, -4.20361328125, -4.219033241271973]"
JVASP-77594,[3.506999969482422],"[4.0736470222473145, 4.212139129638672, -6.283420562744141, -2.2156500816345215]"
JVASP-78001,[0.0],"[0.08193624019622803, 0.1394939422607422, -4.805643081665039, -4.660757541656494]"
JVASP-77596,[0.0],"[0.011746883392333984, 0.020862579345703125, -4.391855239868164, -4.389579772949219]"
JVASP-77598,[1.5859999656677246],"[1.607529640197754, 1.5841950178146362, -5.118499755859375, -3.50455379486084]"
JVASP-19988,[2.880000114440918],"[4.057791709899902, 4.940347671508789, -6.240728855133057, -2.166172981262207]"
JVASP-77602,[0.0],"[0.023157596588134766, 0.03646564483642578, -4.477668762207031, -4.420438289642334]"
JVASP-78002,[0.08099997043609619],"[1.1185722351074219, 1.341233253479004, -5.415975093841553, -4.278314590454102]"
JVASP-77603,[0.0],"[0.0032138824462890625, -0.001430511474609375, -4.747160911560059, -4.749019622802734]"
JVASP-78008,[1.3329999446868896],"[2.527176856994629, 2.7364654541015625, -6.9767045974731445, -4.45253849029541]"
JVASP-5929,[1.2890000343322754],"[1.3478584289550781, 1.424469232559204, -4.682270050048828, -3.337740421295166]"
JVASP-77606,[0.9340000152587891],"[1.2229589223861694, 1.5081946849822998, -5.591657638549805, -4.359801769256592]"
JVASP-78009,[0.0],"[0.08096349239349365, 0.10051989555358887, -4.211050987243652, -4.118041038513184]"
JVASP-77610,[0.0],"[-0.0029714107513427734, -0.008670806884765625, -4.417905807495117, -4.425002574920654]"
JVASP-78010,[1.468000054359436],"[1.7571344375610352, 1.793690800666809, -5.305249214172363, -3.536722421646118]"
